x,y,diameter,time
386,100,24,0
588,152,24,0
420,232,22,0
310,226,20,0
638,276,20,0
74,356,24,0
618,318,24,0
80,128,22,0
330,70,22,0
278,456,20,0
394,276,26,0
356,364,22,0
444,212,22,0
590,38,20,0
470,254,20,0
592,268,26,0
620,148,22,0
322,186,20,0
634,436,20,0
262,310,28,0
292,196,28,0
596,378,24,0
220,56,20,0
548,188,28,0
586,348,28,0
446,378,26,0
262,88,26,0
626,202,24,0
194,136,24,0
38,390,20,0
444,328,20,0
556,310,20,0
404,204,24,0
238,82,24,0
368,408,24,0
288,66,22,0
460,348,22,0
234,36,22,0
14,96,22,0
522,258,20,0
592,212,18,0
628,378,18,0
82,212,26,0
152,206,24,0
602,450,24,0
468,398,20,0
62,450,28,0
42,268,26,0
262,340,20,0
384,156,20,0
478,288,20,0
486,18,18,0
486,180,28,0
488,136,28,0
514,302,28,0
80,484,22,0
562,328,22,0
280,216,20,0
60,208,20,0
540,132,20,0
562,214,18,0
342,26,28,0
100,98,26,0
532,34,20,0
542,280,20,0
448,20,26,0
638,38,24,0
332,362,22,0
146,212,18,0
146,360,18,0
16,122,18,0
612,402,18,0
458,124,28,0
558,348,28,0
154,358,26,0
540,332,22,0
484,308,22,0
566,438,22,0
570,234,22,0
532,420,20,0
356,294,18,0
428,40,18,0
616,416,18,0
394,456,18,0
658,164,18,0
80,440,28,0
564,448,28,0
566,88,26,0
48,264,24,0
652,228,20,0
392,258,18,0
434,422,18,0
550,20,26,0
504,228,22,0
442,120,20,0
374,54,20,0
558,66,20,0
582,494,20,0
412,176,18,0
646,414,18,0
366,484,28,0
542,398,24,0
656,136,22,0
442,164,22,0
480,116,20,0
622,18,26,0
476,228,22,0
300,42,20,0
450,80,20,0
500,318,20,0
564,268,20,0
346,300,24,0
418,458,24,0
412,26,24,0
470,158,28,0
398,30,24,0
490,242,22,0
530,254,20,0
66,226,20,0
402,158,20,0
420,430,20,0
100,400,20,0
372,32,20,0
348,42,18,0
438,96,18,0
618,462,26,0
584,474,20,0
284,448,16,0
474,16,20,0
586,464,20,0
470,32,20,0
308,40,18,0
534,138,16,0
2,206,20,0
44,384,16,0
308,58,20,0
300,494,20,0
574,256,18,0
528,16,20,0
570,82,28,0
580,362,20,0
270,338,18,0
