x,y,diameter,time
338,264,28,5
304,364,28,5
56,278,26,5
300,290,24,5
284,158,28,5
144,102,28,5
270,474,28,5
150,428,24,5
468,316,24,5
396,346,20,5
282,60,28,5
430,242,28,5
460,354,24,5
480,244,24,5
406,322,22,5
464,456,26,5
428,360,24,5
574,334,24,5
242,224,28,5
330,404,28,5
198,22,26,5
286,398,24,5
202,336,28,5
182,316,26,5
516,14,24,5
156,258,20,5
210,192,20,5
312,224,28,5
378,372,28,5
452,162,28,5
474,182,28,5
202,198,24,5
270,428,22,5
168,384,20,5
470,76,18,5
530,424,28,5
8,216,28,5
334,92,26,5
170,172,20,5
426,46,20,5
538,328,20,5
556,80,18,5
92,340,28,5
390,216,28,5
434,434,28,5
532,140,28,5
590,294,24,5
532,334,22,5
12,302,20,5
416,476,20,5
538,134,20,5
184,374,24,5
20,350,20,5
136,264,24,5
8,172,24,5
342,200,22,5
128,304,20,5
162,10,20,5
510,388,26,5
544,62,26,5
478,72,20,5
408,94,26,5
344,86,20,5
248,236,26,5
422,84,20,5
136,300,18,5
360,202,18,5
10,354,20,5
518,382,18,5
300,8,28,5
604,290,20,5
106,322,20,5
650,296,20,5
372,328,20,5
538,422,18,5
514,272,20,5
94,424,18,5
144,434,18,5
494,492,18,5
254,372,18,5
38,444,20,5
