x,y,diameter,time
400,40,28,20
642,172,22,20
440,432,24,20
248,62,26,20
524,90,24,20
496,160,28,20
230,386,20,20
360,444,20,20
604,182,28,20
310,472,28,20
484,466,26,20
488,106,26,20
258,288,28,20
300,172,26,20
256,120,20,20
304,424,20,20
458,480,20,20
496,332,20,20
524,292,20,20
424,230,24,20
560,274,20,20
588,274,20,20
444,136,26,20
498,72,20,20
634,478,20,20
234,352,28,20
568,204,28,20
184,180,26,20
466,86,26,20
426,176,24,20
30,234,24,20
430,300,20,20
244,220,28,20
288,98,28,20
400,270,24,20
620,32,22,20
148,478,20,20
556,428,28,20
576,338,28,20
596,484,24,20
628,80,24,20
532,202,22,20
502,34,20,20
262,26,26,20
578,374,24,20
360,338,24,20
580,250,22,20
166,350,20,20
210,152,20,20
638,46,20,20
554,464,28,20
202,244,24,20
452,310,22,20
646,138,20,20
204,440,28,20
164,468,20,20
88,28,20,20
276,156,20,20
520,438,20,20
642,304,20,20
254,378,18,20
378,294,28,20
326,120,24,20
508,202,24,20
390,158,22,20
642,234,20,20
20,244,28,20
266,286,28,20
46,184,26,20
606,214,22,20
358,480,20,20
508,446,20,20
408,266,20,20
548,382,20,20
322,32,18,20
354,280,18,20
574,182,28,20
544,150,22,20
220,14,20,20
74,386,20,20
496,40,18,20
538,374,18,20
412,198,26,20
620,424,26,20
44,444,26,20
326,108,22,20
624,234,20,20
448,184,20,20
40,192,18,20
396,224,22,20
214,436,18,20
326,296,26,20
296,340,22,20
550,308,22,20
598,298,20,20
194,176,20,20
610,378,20,20
82,380,22,20
420,102,22,20
628,250,20,20
658,324,20,20
218,258,20,20
364,34,20,20
632,310,18,20
326,72,18,20
272,332,28,20
600,2,24,20
398,100,22,20
642,442,18,20
296,6,24,20
190,260,20,20
60,436,18,20
604,408,18,20
12,278,20,20
652,452,20,20
366,482,18,20
368,270,18,20
354,344,24,20
344,28,20,20
658,98,20,20
24,276,18,20
560,308,18,20
540,388,20,20
586,192,20,20
654,70,20,20
94,468,18,20
80,32,26,20
230,490,20,20
330,492,20,20
250,22,18,20
100,224,20,20
142,274,20,20
280,326,18,20
130,126,18,20
258,432,24,20
